V1,V2,V3,V4,V5,label(nasal_phoneme:1;oral_phoneme:2)
0.489927,-0.451528,-1.04799,-0.598693,-0.020418,1
-0.641265,0.109245,0.29213,-0.916804,0.240223,1
0.870593,-0.459862,0.578159,0.806634,0.835248,1
-0.628439,-0.316284,1.934295,-1.427099,-0.136583,1
-0.596399,0.015938,2.043206,-1.688448,-0.948127,1
0.164735,-0.642728,-0.980619,-0.386415,-0.242046,1
2.470804,-0.707277,0.787143,-0.916224,-0.350777,1
-0.487177,-0.117226,1.404477,-1.366362,-0.671747,1
-0.68704,0.574784,-0.141653,-0.175181,-0.136583,1
-0.600961,-0.764064,-0.31402,1.291147,-1.545644,2
-0.583256,-0.526313,0.057808,0.530062,1.357693,2
-0.19083,-0.240767,0.655799,-1.409384,2.938723,2
-0.83164,-0.802773,-0.456364,0.541923,-0.136583,2
-0.3237,1.041403,-1.433166,-0.786542,-0.38078,2
0.6815,0.320053,-0.311883,1.508866,-0.873693,1
-0.334121,0.82734,-1.2103,-0.260763,-0.349,1
-0.827476,-0.933352,0.580666,0.855521,-0.742794,1
-0.013747,1.137307,-1.427127,-0.782865,0.142881,1
0.256722,1.189431,1.009472,-0.964069,-0.427583,2
-0.585563,0.118363,1.320127,-1.284249,0.726145,1
-0.795701,-0.614227,1.169343,0.846745,-0.873953,1
-0.333088,1.553507,-1.469661,-0.785612,-0.351059,1
-0.777758,-0.72519,0.74486,1.1073,-1.38102,2
-0.333324,1.034435,-0.147134,-0.197439,-0.309508,1
-0.254714,0.171568,1.850701,-1.380499,-0.609495,2
-0.139485,1.218113,-0.102299,0.004991,-0.815132,1
-0.232812,1.15102,-1.277143,-0.731492,-0.354226,1
-0.824056,-1.127956,-0.390331,0.371302,-0.136583,1
-0.198939,1.434068,0.323056,-0.899006,-0.136583,1
0.989734,1.136955,-0.237133,-0.212793,-0.378323,1
-0.469173,0.50567,-0.009256,-0.817039,-0.389145,1
-0.883593,-1.214377,-0.697352,-0.169275,1.44693,1
-0.381286,1.580944,-1.468248,-0.107852,-0.391287,1
-0.084287,-0.269613,0.628514,-1.753584,2.855161,2
0.573736,1.565716,0.117917,0.169403,-0.440998,1
